念	思
抵抗	反抗
抵抗	制止
抵抗	抵制
抵抗	禁止
抵抗	服从
抵赖	推托
抵赖	否认
抵赖	狡赖
抵消	对消
抵押	典质
抵御	抵制
抵御	防守
抵御	保卫
抵御	抵抗
抵制	制止
抵制	抑遏
抵制	反驳
抵制	对抗
抵制	反抗
底本	蓝本
底稿	稿本
底稿	初稿
底稿	草稿
底细	根本
底细	底子
底细	究竟
底下	下面
底蕴	底细
底蕴	黑幕
底子	本相
底子	基础
底子	根基
砥砺	磨炼
砥砺	研讨
砥砺	雕琢
地表	地核
地步	风光
地步	景色
地步	局面
地道	纯粹
地道	纯洁
地点	所在
地点	场所
地点	地址
地点	处所
地动	地震
地方	地点
地方	方圆
地方	场合
运输	输送
地府	九泉
运送	运输
运送	输送
运营	经营
地核	地表
地蜡	白蜡
地理	地舆
运用	应用
地面	大地
地盘	土地
地皮	地盘
地痞	流氓
地契	方单
地区	地域
地势	步地
地势	事态
地势	景致
地势	时势
地图	舆图
地位	位置
地位	名望
地舆	地理
地域	地区
地震	地动
地址	所在
地址	地方
地志	舆志
地主	田主
弟妇	弟媳
弟媳	弟妇
弟子	门生
递次	序次
递次	依序
递次	顺序
递加	递增
递送	寄递
运用	袭用
递增	递加
运转	运行
愠恚	愠怒
愠怒	愠恚
第宅	公馆
缔交	订交
缔交	来往
缔交	允诺
缔结	签定
缔结	签订
缔盟	结好
缔盟	结盟
缔姻	联婚
缔造	建设
缔造	创造
缔造	建立
掂量	衡量
掂量	权衡
颠簸	振撼
颠簸	摇动
颠簸	振动
颠倒	畸形
颠倒	反常
颠倒	倒置
颠倒	极度
愠色	怒色
韵事	嘉话
韵事	美谈
韵味	风韵
蕴藏	贮存
颠峰	顶峰
颠覆	撤销
颠覆	推翻
颠末	始末
蕴含	蕴藏
蕴含	包含
颠仆	跌倒
蕴涵	包括
蕴涵	征求
蕴藉	婉转
巅峰	极峰
巅峰	顶峰
癫狂	发疯
典范	规范
典范	典型
典范	轨范
典籍	文籍
典礼	仪式
典型	典范
典雅	高超
典雅	温柔
典雅	高贵
典质	抵押
点窜	编削
点窜	删改
点窜	窜改
点火	点燃
点火	焚烧
点燃	焚烧
蕴藉	含蓄
点头	拍板
点缀	装饰
点缀	装点
蕴蓄	积蓄
电机	机电
电扇	风扇
电影	影戏
佃户	田户
佃猎	打猎
佃猎	狩猎
佃农	房客
佃农	佃户
店保	铺保
店东	东家
店铺	店肆
店肆	市廛
店肆	市肆
店肆	店铺
店员	伙计
店主	雇主
店主	东家
店主	东主
玷辱	玷污
玷污	污染
惦记	顾虑
惦记	担心
惦记	想念
惦念	想念
惦念	担心
惦念	牵记
惦念	记挂
惦念	惦记
奠基	涤讪
刁恶	邪恶
刁恶	残暴
刁悍	强悍
刁悍	强横
刁猾	狡猾
刁滑	恶劣
刁狡	狡猾
刁难	尴尬
刁顽	刁滑
刁顽	顽恶
刁钻	刁滑
刁钻	顽恶
凋敝	萧瑟
凋敝	萧条
凋敝	衰落
凋零	腐败
凋零	凋谢
凋零	堕落
凋落	雕谢
凋落	寥落
凋落	凋零
凋射	凋零
凋射	雕零
凋谢	凋落
凋谢	干枯
凋谢	凋零
碉堡	城堡
碉堡	堡垒
雕残	残落
雕残	凋零
蕴蓄	积聚
雕悍	残暴
雕悍	悍戾
雕刻	雕琢
雕栏	栏杆
雕零	凋零
雕镂	镌刻
雕镂	雕刻
雕塑	雕刻
雕谢	凋落
雕谢	凋零
雕琢	考虑
雕琢	雕镂
雕琢	雕刻
雕琢	镌刻
杂费	杂用
杂居	混居
吊挂	悬挂
吊祭	吊唁
吊祭	吊问
吊颈	上吊
吊颈	悬梁
吊颈	自缢
杂乱	繁杂
吊丧	吊问
吊丧	吊唁
吊水	汲水
吊水	取水
吊问	吊唁
吊销	撤消
吊销	打消
吊唁	悼念
钓饵	诱饵
钓鱼	垂钓
掉包	偷换
掉队	过时
掉队	落伍
掉失	失去
掉失	遗失
杂乱	凌乱
杂乱	冗杂
跌宕	跌荡
跌荡	跌宕
跌倒	摔倒
杂乱	散乱
跌价	减价
跌交	跌跤
跌跤	跌交
杂乱	混乱
谍报	情报
杂念	邪念
杂事	琐事
杂税	冗赋
杂沓	繁芜
喋血	蹀血
蹀血	喋血
丁宁	交代
丁宁	嘱咐
丁宁	交接
丁壮	壮年
叮咛	吩咐
叮咛	交代
叮咛	叮嘱
叮嘱	嘱托
叮嘱	吩咐
叮嘱	交代
盯梢	钉梢
顶点	极点
顶端	尖端
顶风	迎风
顶峰	高峰
顶用	中用
顶撞	顶嘴
顶嘴	顶撞
杂沓	杂遝
杂沓	杂乱
杂沓	凌乱
鼎沸	喧嚷
鼎沸	蜩沸
鼎力	大力
鼎立	鼎峙
鼎盛	壮盛
鼎盛	发达
鼎盛	抖擞
鼎盛	昌盛
鼎新	革新
鼎新	刷新
鼎峙	鼎立
杂遝	杂沓
订单	定单
订定	合同
订定	制订
订定	拟订
订户	定户
订婚	文定
订货	定货
订价	定价
订交	相交
订交	答应
订交	协议
订交	结交
订立	签订
订立	签定
订盟	结盟
订亲	订婚
订阅	定阅
订正	矫正
订正	改变
订正	改正
订正	改革
钉梢	盯梢
定单	订单
定都	建都
定夺	裁夺
定夺	决定
定夺	决断
定规	定例
定户	订户
定婚	订婚
定货	订货
定价	订价
定见	成见
定见	私见
定居	假寓
定例	定规
定名	命名
定命	定数
定期	按期
定期	按时
定亲	订婚
定亲	订亲
定然	一定
定时	准时
定时	守时
定数	定命
定心	宁神
定心	释怀
定心	宽心
定心	宽解
定义	界说
定约	联盟
定阅	订阅
定则	定章
定章	定则
定罪	治罪
杂文	随笔
丢丑	丢脸
丢丑	难看
丢掉	丢弃
丢掉	抛弃
丢掉	扬弃
杂文	短文
杂务	总务
杂务	庶务
丢脸	出丑
丢弃	抛弃
丢弃	甩掉
杂用	杂费
咋舌	齰舌
丢失	丧失
丢失	牺牲
灾地	灾区
东床	半子
东床	女婿
东大	东南大学
灾害	灾祸
东风	春风
东家	店主
灾患	灾祸
灾荒	灾害
灾荒	祸殃
灾祸	灾害
灾祸	悲惨
灾祸	灾难
东西	货色
东洋	东瀛
东瀛	东洋
灾黎	哀鸿
东主	雇主
东主	东家
冬风	北风
冬烘	腐儒
冬眠	蛰伏
冬日	冬季
冬天	冬季
冬衣	寒衣
冬装	冬衣
懂得	明了
懂得	领会
懂得	显着
懂得	晓得
动弹	转动
动荡	涟漪
动荡	浮荡
动荡	摇荡
动荡	动乱
动荡	震动
动荡	发抖
动工	开工
动机	效果
动机	后果
动静	动态
动静	消息
动力	能源
动乱	涟漪
动乱	烦扰
动乱	骚乱
动乱	干扰
动乱	动荡
动怒	动怒
动怒	生气
动人	动听
动人	悦耳
灾黎	灾民
灾民	难民
灾民	流民
动身	出发
动身	登程
动身	启程
动手	发端
动手	入手
动手	开始
动态	动静
动听	入耳
动听	美观
动向	梦想
动向	意向
动摇	晃荡
动摇	震动
动摇	彷徨
动摇	迟疑
动员	启发
动员	发起
灾难	灾害
动作	举措
动作	举动
冻结	停止
冻结	停息
灾难	劫难
洞居	穴居
洞开	敞开
洞开	大开
洞窟	窟窿
洞窟	穴洞
灾难	倒霉
灾难	祸害
灾年	荒年
灾区	灾地
洞穴	洞窟
洞穴	穴洞
洞穴	窟窿
灾殃	灾患
恫吓	威吓
都城	国都
都会	城市
都会	都市
都会	都邑
都丽	华丽
都丽	丽都
都门	京都
都门	都城
都市	都邑
都市	城市
都雅	雅观
都邑	城市
兜揽	招徕
兜售	抛售
兜销	膜拜
兜销	兜售
抖动	战栗
抖动	颤动
抖揽	兜揽
抖揽	招徕
抖揽	招揽
抖落	揭露
抖擞	振奋
抖擞	刚强
抖擞	振作
灾殃	祸殃
陡峻	陡峭
陡峻	险要
陡立	高峻
陡立	坎坷
陡坡	斜坡
陡峭	峻峭
陡峭	笔陡
陡然	倏忽
陡然	遽然
陡然	顿然
斗胆	大胆
斗劲	比较
斗劲	较量
斗丽	争艳
斗笠	笠帽
灾殃	灾害
斗殴	打斗
斗殴	相打
斗篷	大氅
斗气	负气
栽花	种花
斗室	小房
栽培	培植
斗争	搏斗
斗争	战争
栽培	栽种
栽培	栽植
斗嘴	争执
斗嘴	辩论
斗嘴	争吵
豆割	分割
栽植	培植
豆浆	豆乳
栽植	栽种
豆剖	瓜分
豆剖	分割
豆剖	割据
栽种	培植
栽种	栽培
仔肩	负担
豆乳	豆浆
豆芽	芽菜
逗留	停留
逗留	停息
逗留	迁延
逗遛	逗留
逗弄	逗引
仔肩	责任
逗引	逗弄
督促	敦促
督促	催促
督促	鼓励
督工	管工
毒害	迫害
毒酒	鸩酒
毒辣	狠毒
毒辣	恶毒
毒杀	鸩杀
毒手	辣手
独霸	专揽
独霸	把持
独裁	专制
独唱	合唱
仔细	提防
仔细	留意
仔细	审慎
仔细	专一
仔细	详尽
独处	独立
独处	伶仃
独处	孤立
独创	创造
独创	首创
独创	初创
独断	专断
仔细	注重
仔细	用心
宰辅	辅弼
宰割	分割
宰衡	宰辅
宰杀	屠宰
宰相	首相
再版	重版
独居	茕居
再行	从新
再会	重逢
再会	相逢
独揽	驾驭
独揽	专揽
独揽	控制
再婚	再嫁
再婚	续弦
再嫁	续弦
独立	自力
再嫁	再婚
再见	再会
再建	重建
再建	重修
再醮	改嫁
独身	单身
再启	又及
再起	复兴
独特	专有
独特	瑰异
独特	特殊
独吞	独占
再起	中兴
独一	唯一
再三	经常
独有	特有
独有	私有
独有	独占
独占	独吞
再三	屡次
再三	反复
独自	孤单
独自	径自
独自	单身
独奏	合奏
读书	念书
渎神	敬神
渎职	失职
黩职	失责
黩职	失职
笃爱	锺爱
笃爱	喜欢
笃信	坚信
笃信	确信
笃志	潜心
笃志	静心
堵截	切断
堵塞	梗塞
堵塞	阻碍
堵塞	故障
赌博	打赌
赌博	赌钱
赌气	负气
赌气	活力
赌钱	打赌
赌咒	发誓
再生	复活
再生	更生
再现	涌现
杜绝	根绝
再现	表现
再造	更生
杜口	绝口
杜口	闭口
再造	再生
再造	复活
再蘸	再婚
在朝	执政
在行	熟行
杜撰	伪造
杜撰	诬捏
杜撰	臆造
肚量	怀抱
肚量	胸宇
肚量	襟怀
妒忌	忌妒
妒忌	嫉妒
度过	渡过
度量	襟怀
度量	宇量
度量	气量
度日	过活
渡过	度过
蠹虫	蛀虫
在行	行家
在行	熟稔
端的	真个
在乎	在意
在即	期近
端方	正派
端方	端正
端方	规矩
端倪	头绪
端倪	眉目
端淑	文静
端五	端午
端午	端五
端相	审察
端详	端相
端详	端量
端详	打量
端正	规则
端正	原则
端正	方正
端庄	庄敬
端庄	庄重
端庄	庄严
端庄	放浪
端坐	危坐
短处	瑕疵
短处	缺点
短处	瑕玷
短促	权且
短促	急促
短工	散工
短工	零工
短命	夭殇
短期	短时间
短缺	枯窘
短缺	缺乏
短缺	欠缺
短少	枯竭
短少	缺少
短寿	短命
短文	漫笔
短序	引言
短暂	倏得
短暂	一会儿
短暂	短促
短长	瑕瑜
短长	是非
短折	夭折
短折	短命
断定	鉴定
断定	确定
断定	判定
断定	决议
断定	坚信
在任	在职
在世	谢世
在下	不才
断根	撤废
断根	拂拭
断根	铲除
在下	鄙人
断魂	销魂
断交	断绝
断交	绝交
断绝	阻塞
断绝	决绝
断绝	中断
断绝	隔绝
断命	去逝
断命	逝世
断念	死心
断念	息心
断念	销毁
断气	气绝
断然	决然
断送	就义
断送	葬送
锻练	教练
锻练	训练
锻炼	锤炼
锻炼	磨练
锻炼	琢磨
锻造	铸造
堆积	积蓄
堆积	储存
堆积	积聚
堆集	积聚
堆集	堆积
堆栈	栈房
堆栈	货仓
堆栈	仓库
队列	部队
队伍	戎行
队伍	部队
队伍	军队
对比	对照
对比	相比
对比	比较
在心	介意
对唱	对歌
对待	对付
对待	看待
对待	周旋
对等	平等
对付	凑合
对付	周旋
对歌	对唱
对换	对调
对劲	合意
对抗	反叛
对抗	对立
对立	分裂
对立	对峙
对立	对抗
对联	春联
对面	当面
对面	劈头
对手	敌手
在心	在意
在野	在朝
对调	对换
对头	仇人
对象	目标
对象	东西
对消	抵消
对弈	下棋
对奕	下棋
对奕	奕棋
对于	对
对照	比较
对照	对比
对折	半数
对证	对质
在意	介意
在意	留心
在意	在乎
对质	对证
对峙	周旋
对峙	僵持
对准	瞄准
对子	对联
兑现	实现
敦促	鞭策
敦促	激励
敦厚	淳厚
敦厚	忠厚
敦厚	老诚
敦睦	融洽
敦睦	和好
敦朴	敦厚
敦朴	老诚
敦朴	淳厚
敦实	矮壮
顿挫	抑扬
顿脚	跺脚
在在	到处
顿然	乍然
顿然	遽然
在职	在任
顿时	即时
顿时	立即
顿时	登时
顿首	稽首
在坐	在座
在座	在坐
遁藏	隐匿
遁藏	躲避
遁词	托词
遁词	饰词
遁辞	托辞
遁迹	逃亡
遁迹	出亡
遁迹	隐迹
遁世	豹隐
多半	大都
多半	无数
多半	多数
咱们	我们
暂且	姑且
暂且	一时
多次	屡次
多次	屡屡
暂时	姑且
多见	习见
多见	常见
多礼	得体
多量	巨额
多量	大量
多么	如许
多情	重情
暂时	暂且
暂时	且自
暂时	有时
暂时	片刻
多少	几何
多少	几许
多少	几多
暂时	顷刻
暂停	休憩
多数	多半
多数	普遍
多言	多嘴
暂停	憩息
多样	各类
多样	百般
多余	过剩
多余	有余
多灾	多难
暂息	暂停
多嘴	多言
暂息	停滞
赞成	同意
哆嗦	颤动
哆嗦	寒战
哆嗦	震动
哆嗦	发抖
赞成	拥护
赞成	扶助
夺目	刺眼
夺目	精明
夺目	耀眼
夺取	掠夺
夺取	篡夺
夺取	争夺
夺职	去官
夺职	告退
夺职	免职
朵云	多云
朵云	云朵
朵云	大札
躲避	藏匿
躲避	隐藏
躲避	躲藏
躲避	避开
躲藏	潜藏
躲藏	隐藏
躲藏	潜伏
躲藏	规避
躲债	避债
舵手	船员
舵手	舟子
舵手	梢公
堕泪	流泪
堕泪	抽泣
堕泪	饮泣
堕落	沉沦
堕落	腐化
堕落	腐败
堕入	陷入
堕胎	打胎
跺脚	顿脚
讹传	谣传
讹诈	敲诈
俄顷	少顷
俄顷	瞬息
俄顷	片刻
俄顷	移时
赞成	答允
赞成	附和
赞成	赞同
额外	特为
额外	极度
额外	特殊
厄运	恶运
厄运	灾祸
扼杀	消弭
扼杀	消除
扼杀	抹杀
扼守	据守
扼要	简略
扼要	概略
恶报	善报
恶臭	腐臭
恶毒	歹毒
恶毒	顽劣
恶毒	刁滑
恶毒	狠毒
赞歌	颂歌
恶感	反感
赞理	襄助
恶棍	无赖
恶果	结局
恶果	效率
恶果	后果
恶汉	恶人
恶汉	坏蛋
恶行	劣行
恶耗	凶信
恶耗	噩耗
赞美	赞叹
赞美	赞扬
赞佩	羡慕
赞佩	艳羡
赞赏	赞誉
赞赏	称扬
恶疾	顽疾
恶劣	卑劣
恶劣	凶恶
赞赏	称道
恶梦	噩梦
恶名	臭名
恶魔	魔鬼
恶妻	悍妇
恶妻	泼妇
恶人	暴徒
恶人	恶徒
恶人	坏人
恶徒	坏人
恶徒	暴徒
恶习	陋习
恶相	凶相
赞赏	赞美
赞颂	称誉
恶意	歹意
赞颂	传扬
赞颂	赞美
恶运	灾祸
恶运	患难
恶兆	凶兆
恶浊	邋遢
恶浊	污秽
恶浊	肮脏
赞颂	歌颂
赞叹	称赞
遏抑	胁制
遏抑	制止
遏抑	箝制
遏止	抑止
遏止	遏制
遏制	阻碍
遏制	制止
愕然	惊愕
愕然	惊诧
噩耗	凶讯
噩梦	恶梦
恩爱	友爱
恩宠	醉心
恩宠	宠爱
恩仇	恩怨
恩赐	给予
恩赐	表彰
恩德	恩义
恩德	恩惠
恩典	恩泽
恩典	恩惠
恩惠	恩德
赞叹	赞叹
赞叹	赞美
赞叹	赞扬
恩情	恩义
恩情	恩惠
恩情	恩泽
恩人	朋友
赞叹	赞许
赞同	拥戴
赞同	许可
赞同	赞成
恩义	恩情
恩义	恩德
恩怨	恩仇
恩泽	恩惠
恩泽	膏泽
儿歌	童谣
儿女	子息
儿女	后代
儿女	子女
儿童	童子
而后	此后
而后	尔后
而今	目今
而今	此刻
而今	当今
而且	并且
而已	罢了
赞同	赞助
耳环	耳饰
耳目	线人
赞同	赞许
赞许	赞成
赞许	赞美
赞许	称赞
赞许	帮助
赞许	表扬
赞许	赞扬
赞扬	称赞
赞扬	赞许
赞扬	赞美
赞誉	奖赏
赞誉	赞美
耳饰	耳环
赞誉	称道
赞助	赞成
耳语	私语
迩来	近来
二黄	二簧
二簧	二黄
赞助	支持
赞助	扶助
赞助	资助
二心	贰心
二心	外心
二月	仲春
二者	两者
贰心	他心
贰心	二心
贰言	异议
发表	公布
发表	宣布
发兵	兴师
发兵	出兵
发兵	兴兵
发病	病发
发布	宣告
发布	颁发
发布	颁布
发布	揭晓
发财	发达
发愁	烦恼
发愁	忧愁
发达	昌盛
发达	繁荣
发达	发挥
发达	开展
发达	兴旺
发呆	发愣
发动	提倡
发动	带动
发动	鼓动
发动	启发
发动	鼓吹
发抖	颤动
发抖	颤栗
发抖	战栗
发抖	轰动
发放	分发
发放	散发
发奋	用功
发奋	振奋
发奋	奋发
赞助	援助
赞助	辅助
赃官	贪官
发愤	发奋
葬送	断送
遭到	受到
发疯	发狂
发还	发回
发行	刊行
遭逢	遭遇
遭受	遭遇
遭受	遇到
遭受	蒙受
遭殃	罹难
发慌	忙乱
发慌	慌乱
发慌	发急
发挥	表现
发挥	分析
发挥	发扬
发回	发还
发火	动怒
发火	起火
发火	发作
发火	发怒
发急	焦心
发急	焦躁
发急	焦炙
发急	心焦
发急	着急
发迹	发达
发迹	荣达
发迹	复兴
发家	发财
发觉	察觉
发觉	呈现
发觉	出现
发觉	发现
发窘	发慌
发窘	骇怕
遭殃	遭灾
发掘	暴露
发掘	显现
发狂	发疯
发楞	发愣
发愣	发楞
发愣	发呆
发卖	贩卖
发卖	出卖
发卖	销售
发蒙	启蒙
发明	发现
发明	创造
发明	首创
发难	举事
发怒	发火
发怒	愤怒
发妻	嫡妻
发起	提议
发起	倡导
发起	提倡
发热	发烧
遭殃	干连
遭遇	蒙受
遭遇	遭受
遭遇	遇到
发轫	着手
发轫	起初
发轫	出手
发轫	初阶
发轫	发端
发散	散发
遭灾	遇害
发烧	发热
发射	放射
发生	产生
发生	发作
发誓	赌咒
发誓	立誓
发誓	起誓
发售	发卖
发问	提问
发现	浮现
发现	显现
发现	创造
发祥	发源
遭灾	罹难
发笑	失笑
发泄	宣泄
发芽	抽芽
发芽	萌芽
发言	谈话
发言	讲话
发扬	发展
发扬	表现
发扬	施展
遭罪	受罪
遭罪	吃苦
发源	起源
糟跶	断送
发展	滋长
发展	兴盛
发展	开展
发展	繁华
发胀	丰满
糟糕	糟了
发作	爆发
乏味	糟糕
乏味	蹩脚
伐鼓	击鼓
糟糕	不幸
伐木	斩柴
伐罪	讨伐
糟践	踩踏
糟践	糟蹋
法宝	宝贝
法宝	宝物
法场	刑场
法度	法式
法度	模范
法规	法例
法规	规则
法纪	纲纪
法例	律例
法例	规则
法令	规则
法令	规律
法律	法令
法律	公法
法律	国法
法门	诀窍
法式	圭表
法式	圭臬
法术	术数
糟糠	荆布
法衣	袈裟
法则	正直
法则	纲领
法则	规则
法则	法律
法制	法治
法治	法制
法子	办法
法子	方法
法子	要领
珐琅	搪瓷
帆船	风帆
帆海	航海
帆樯	桅杆
帆柱	桅杆
番邦	外国
番邦	异邦
番笕	肥皂
番笕	胰子
番薯	甘薯
蕃昌	兴盛
蕃昌	富强
蕃芜	茂盛
蕃庑	茁壮
蕃庑	茂盛
幡然	翻然
糟粕	残余
糟粕	残存
翻案	昭雪
翻滚	翻腾
糟塌	蹧跶
翻开	打开
翻脸	决裂
翻脸	交恶
翻脸	闹翻
翻然	幡然
糟塌	糟踏
糟塌	奢侈
糟踏	踹踏
糟踏	践踏
翻腾	翻滚
糟踏	糟塌
糟蹋	鄙弃
糟蹋	凌虐
翻新	创新
翻新	改进
糟蹋	挥霍
糟蹋	伤害
糟蹋	踹踏
凡夫	庸人
蹧跶	奢侈
凡间	尘世
凡间	尘寰
凡人	常人
凡是	广泛
凡是	但凡
凡是	平常
蹧跶	华侈
凡俗	平庸
凡有	凡是有
烦吵	烦扰
烦吵	烦嚣
烦复	烦杂
烦复	冗杂
烦闷	郁闷
烦闷	喧哗
烦闷	烦恼
烦懑	烦恼
烦懑	烦闷
烦懑	苦闷
烦恼	担心
烦恼	懊丧
烦扰	烦恼
烦扰	叫嚣
烦扰	烦躁
烦扰	搅扰
烦扰	热闹
烦琐	繁重
烦琐	冗杂
烦琐	艰难
烦琐	冗长
烦琐	艰巨
烦嚣	扰攘
烦嚣	嘈杂
烦嚣	吵杂
烦厌	腻烦
烦杂	冗杂
烦躁	苦恼
烦躁	烦恼
烦躁	混乱
烦躁	搅扰
烦躁	纷乱
樊篱	屏障
樊笼	牢笼
繁多	众多
繁多	稠密
繁多	繁密
繁复	复杂
繁复	繁杂
繁华	茂盛
繁华	热烈
繁华	喧闹
繁华	繁荣
繁忙	辛苦
繁忙	忙碌
繁忙	费力
繁忙	劳累
繁茂	茂盛
繁茂	茂密
繁密	稠密
繁密	浩繁
繁密	繁多
繁难	窒息
繁难	艰难
繁荣	进步
繁荣	昌盛
繁荣	茂盛
繁荣	隆盛
繁荣	繁华
繁荣	繁茂
蹧跶	葬送
蹧蹋	摧残
繁冗	辛苦
繁冗	繁忙
繁缛	烦琐
繁盛	昌盛
繁盛	富贵
繁盛	荣华
繁盛	富强
繁琐	烦琐
繁琐	冗杂
繁琐	噜苏
凿凿	可信
繁芜	紊乱
繁芜	芜杂
凿凿	准确
繁衍	繁殖
繁杂	劳碌
繁杂	复杂
繁杂	繁冗
繁杂	繁缛
繁殖	繁衍
繁殖	滋长
繁重	吃力
繁重	艰难
繁重	艰巨
繁重	深厚
繁重	沉重
反璧	归还
凿凿	确凿
反驳	拒绝
反驳	批评
反驳	异议
反常	失常
早安	晨安
早餐	早饭
早晨	凌晨
反对	拦阻
反对	驳倒
反对	禁绝
反对	障碍
反对	抗拒
反对	辩驳
反对	阻碍
反复	一再
反复	再三
反复	重复
早晨	清早
早晨	破晓
早晨	朝晨
早晨	薄暮
早春	初春
早饭	早餐
早年	当年
反感	恶感
反攻	抨击
反攻	进击
反悔	懊悔
反悔	追悔
反击	抨击
反击	攻击
反诘	反问
反抗	抵抗
反抗	抵挡
反抗	叛变
反抗	屈从
反抗	抗衡
反抗	不平
反抗	反叛
反抗	抗拒
反抗	分裂
早年	从前
反馈	反应
早期	初期
早起	夙起
早上	早晨
早死	短寿
反面	后面
反面	背后
反目	争吵
反目	反面
反派	邪派
反叛	叛变
反叛	叛逆
反叛	背叛
反扑	反击
反扑	还击
早死	短命
反射	曲射
反省	检讨
反水	反叛
反水	倒戈
反水	背叛
早晚	朝夕
反思	沉思
反思	深思
反问	反诘
反响	响应
反响	反映
反响	反应
反应	反响
反应	反馈
反映	反应
反照	倒映
反正	归正
反转	回转
早晚	迟早
返璧	归还
返璧	奉赵
返国	归国
返来	归来
早霞	朝霞
早先	起首
返梢	回销
犯错	出错
早先	起先
早先	起点
早先	开始
犯法	犯科
犯法	不法
犯讳	犯忌
犯忌	犯讳
犯禁	违禁
犯警	犯罪
犯警	不法
犯境	入寇
犯科	犯警
犯科	不法
犯人	监犯
早夭	短命
澡堂	浴池
澡堂	浴室
澡堂	混堂
犯罪	不法
犯罪	犯法
犯罪	违法
饭店	饭馆
饭馆	饭店
饭铺	饭店
饭桶	脓包
泛爱	博爱
泛博	广大
泛动	涟漪
泛动	激荡
泛动	荡漾
泛泛	平平
泛泛	平常
泛滥	弥漫
泛滥	浩瀚
泛论	畅谈
泛起	出现
范畴	界限
范例	表率
范例	类型
范例	典型
范围	范畴
范围	界限
范围	限定
藻饰	妆饰
贩卖	出卖
贩卖	售卖
贩子	市井
梵刹	佛寺
梵衲	头陀
梵衲	和尚
梵学	佛学
梵宇	佛寺
方案	计划
方便	简单
方便	容易
方便	简陋
方才	刚才
造成	形成
造次	冒昧
方单	地契
方法	步骤
方法	技术
方法	手段
方法	花样
方法	伎俩
方法	步调
方法	本领
方法	格局
造次	卤莽
方剂	丹方
方剂	方子
方剂	单方
方今	此刻
方今	当前
方命	抗命
方命	违命
造反	抗争
方士	术士
方式	式样
方式	妙技
方式	办法
方向	方位
方向	目标
方向	对象
造反	反水
造反	作乱
造反	背叛
方言	土话
方圆	四周
方丈	住持
方针	指标
方针	主见
方针	决策
方针	计划
方正	高洁
方正	朴直
方正	正直
方子	药剂
方子	单方
方子	丹方
坊镳	犹如
芳华	青春
芳香	芬芳
防备	防范
防备	提防
防备	保卫
防地	防线
防范	防守
防范	防卫
防范	提防
防寒	御寒
防护	防备
造访	拜访
防守	守卫
防守	防卫
防守	防止
防守	守护
造就	教导
造就	培养
防卫	提防
防卫	戒备
防卫	警戒
防卫	预防
防线	防地
防御	提防
防御	预防
防御	抗御
防御	扞卫
防御	警备
防御	留意
防止	避免
防止	避让
防止	防备
妨碍	妨害
妨害	阻碍
房东	房主
房客	住客
房客	佃农
房契	宅券
房钱	租金
房屋	衡宇
房主	房东
房子	屋子
仿单	说明书
仿佛	恍如
仿佛	好想
仿佛	似乎
仿佛	好像
仿效	仿照
仿效	仿造
仿效	效颦
仿造	仿制
仿照	效法
仿照	仿造
仿照	照样
仿制	复旧
仿制	模拟
仿制	模仿
仿制	仍旧
仿制	仿造
造就	抬举
访候	访问
访候	拜候
访拿	缉捕
访拿	追拿
访问	调查
访问	查询
访问	造访
访问	拜会
访问	探听
访谒	访问
放大	夸大
放大	强调
放胆	松手
放胆	放任
放胆	放弃
放诞	跌荡
放诞	跌宕
放荡	纵容
放荡	放任
放荡	放纵
造孽	不法
造谣	伤害
放工	下班
造谣	假造
放火	纵火
放假	休假
放开	摊开
放浪	纵容
放浪	肆意
放浪	狂放
放浪	恣肆
放浪	浪漫
造谣	诽谤
放慢	减慢
放弃	甩手
放弃	摒弃
放弃	舍弃
放弃	淘汰
放弃	甩掉
放晴	转晴
放任	放肆
放任	疼爱
放任	疯狂
放任	纵容
放任	撒手
放任	放手
造诣	成就
放哨	巡哨
放哨	巡视
放哨	寻视
放射	喷射
放手	厌弃
放手	溺爱
放手	放胆
放手	放弃
放手	罢休
放手	截止
放肆	狂妄
放肆	尽情
放肆	疯狂
放肆	任意
放肆	放手
放肆	大肆
放肆	撒手
放松	减少
造作	权诈
造作	原委
放心	释怀
放心	太平
放心	坦然
放心	安心
放学	下学
噪音	乐音
燥热	炎热
放洋	出国
放置	安置
放置	弃捐
放置	安插
放逐	流放
放恣	奔放
放恣	放荡
放纵	放浪
放纵	怂恿
放纵	放肆
放纵	放任
放纵	听任
飞奔	飞驰
躁急	烦闷
躁急	烦躁
飞驰	奔驰
飞驰	疾驰
飞驰	飞奔
责备	诽谤
责备	训责
责备	中伤
飞行	翱游
飞行	遨游
飞行	飞舞
飞行	航行
责备	呵叱
飞快	急速
飞快	速即
飞快	躁急
飞快	赶快
飞速	飞快
飞速	快速
飞腾	飞翔
飞舞	翱翔
飞舞	航行
飞舞	飘动
飞翔	遨游
飞翔	飘动
飞扬	上升
飞扬	飞腾
责备	责骂
责备	质问
责罚	惩办
责罚	科罚
责怪	责骂
飞跃	奔腾
妃耦	配偶
非常	特殊
非常	相称
非常	极度
非常	特地
非常	特别
非但	不但
非法	犯法
非法	作歹
非法	不法
非法	犯科
非法	违法
非凡	特别
非凡	超群
非凡	特殊
非分	分外
非论	不论
非论	无论
责怪	叱骂
责怪	指责
非命	横死
非难	诘责
非难	追问
非难	责难
非难	责怪
菲薄	空洞
菲薄	肤浅
菲薄	浅薄
菲敬	菲仪
菲林	胶卷
菲仪	菲敬
责骂	斥责
蜚言	流言
蜚言	浮言
